iter	Logloss	Accuracy
0	0.6560951657	0.8426202176
1	0.623087236	0.8433222183
2	0.5921866856	0.8429273429
3	0.561485522	0.8425324675
4	0.536845731	0.8434977185
5	0.5129231144	0.8443752194
6	0.4937470607	0.8468760969
7	0.4779441101	0.8461740962
8	0.4628421998	0.8470954721
9	0.4482025466	0.8508687259
10	0.4362577824	0.8507809758
11	0.424714474	0.8507371007
12	0.4146711266	0.8506493506
13	0.4044172169	0.8508687259
14	0.3966304289	0.8505616006
15	0.3903822086	0.851044226
16	0.3835311599	0.851000351
17	0.3771459127	0.8511319761
18	0.3721383774	0.8511319761
19	0.3678142388	0.8509126009
20	0.3636687048	0.8514829765
21	0.3601189131	0.8513952264
22	0.3579386885	0.8514829765
23	0.3542947919	0.8524043524
24	0.3514166628	0.8527992278
25	0.3492560601	0.8534134784
26	0.3469895021	0.8541154791
27	0.3447490676	0.8539399789
28	0.3426716477	0.8544226044
29	0.3406619983	0.8546419796
30	0.3383896782	0.8548174798
31	0.3365975157	0.855958231
32	0.3350377543	0.856002106
33	0.3333083394	0.8564847315
34	0.3317048751	0.8563092313
35	0.3305042017	0.8566602317
36	0.3288939557	0.8562214812
37	0.3279923513	0.8563092313
38	0.3268404195	0.8562214812
39	0.3255165383	0.8565286065
40	0.3246236137	0.8568796069
41	0.3233416168	0.856967357
42	0.3225035821	0.8572744823
43	0.3215954374	0.8571428571
44	0.3208139738	0.857011232
45	0.3199259842	0.8572744823
46	0.3189004141	0.8576254826
47	0.3180625567	0.8578009828
48	0.3173978747	0.8577132327
49	0.3168524017	0.8578448578
50	0.3160841334	0.8581081081
51	0.3156073964	0.8584591085
52	0.3149317683	0.8585907336
53	0.3141896716	0.8583713584
54	0.3137809344	0.8583274833
55	0.3132631716	0.8585468585
56	0.3128322683	0.8581958582
57	0.3123855154	0.8581958582
58	0.311813817	0.8585029835
59	0.3113257751	0.8585029835
60	0.3108721362	0.8586346086
61	0.3101026638	0.8588539839
62	0.3095808203	0.8588978589
63	0.3090769229	0.858985609
64	0.3085675022	0.8590733591
65	0.3080176682	0.8591611092
66	0.3077039641	0.8594682345
67	0.3072517095	0.8594243594
68	0.3065097963	0.8596876097
69	0.3062112588	0.8596876097
70	0.3059174829	0.859994735
71	0.3053414859	0.8601702352
72	0.3050413358	0.8602579853
73	0.304707482	0.8603896104
74	0.3043075896	0.8600824851
75	0.3038824892	0.8608283608
76	0.3036294402	0.8608283608
77	0.3032413432	0.8608722359
78	0.302757745	0.861047736
79	0.3025567502	0.8611793612
80	0.3022118795	0.861003861
81	0.301769929	0.8616181116
82	0.3014551746	0.8618374868
83	0.3010670327	0.8617936118
84	0.3008665685	0.8618813619
85	0.3005398738	0.8621446121
86	0.300269066	0.8623639874
87	0.3000282167	0.8622762373
88	0.2997858372	0.8624078624
89	0.2995403919	0.8625394875
90	0.2989749201	0.8628027378
91	0.2987125997	0.8628904879
92	0.2985293149	0.8632414882
93	0.2981828151	0.8632414882
94	0.2980150243	0.8633731134
95	0.2977411122	0.8632853633
96	0.2975551528	0.8634169884
97	0.2971287156	0.8636802387
98	0.2969174467	0.8639434889
99	0.2964297209	0.8640751141
100	0.2962377539	0.8639434889
101	0.296037047	0.8639434889
102	0.2957638332	0.8641189891
103	0.29558136	0.8642944893
104	0.295318845	0.8646454896
105	0.2951957371	0.8647332397
106	0.2949781571	0.864952615
107	0.2948160822	0.8648209898
108	0.2946311343	0.8650842401
109	0.2943522029	0.865040365
110	0.2941499907	0.8652597403
111	0.2939125187	0.8653913654
112	0.2937193565	0.8655229905
113	0.29355287	0.8657423657
114	0.2933669826	0.8659178659
115	0.2929884232	0.8662249912
116	0.2928832382	0.8661811162
117	0.2927273247	0.8661372411
118	0.2926083481	0.8662688663
119	0.2924569832	0.8663127413
120	0.2922378782	0.8665321165
121	0.2918550461	0.867014742
122	0.2913770007	0.8671902422
123	0.2912584349	0.8673218673
124	0.2910355852	0.8672779923
125	0.2909425985	0.8672779923
126	0.2907390666	0.8675851176
127	0.2906056989	0.8673218673
128	0.2904422444	0.8674534925
129	0.2903190165	0.8674973675
130	0.2900809052	0.8676289926
131	0.2899918196	0.8675851176
132	0.2898990066	0.8674534925
133	0.2897570013	0.8675412425
134	0.2896306694	0.8677167427
135	0.289537651	0.8678044928
136	0.2893900767	0.8679361179
137	0.2892462644	0.8678483678
138	0.2890787474	0.8678922429
139	0.2889649008	0.8678044928
140	0.2888632567	0.8678483678
141	0.288734815	0.8678483678
142	0.2885494241	0.8678483678
143	0.2883953818	0.8678922429
144	0.2882916843	0.8678044928
145	0.288173494	0.868023868
146	0.2879148201	0.8680677431
147	0.2878091333	0.8681116181
148	0.2877097806	0.8682432432
149	0.2876148124	0.8683748684
150	0.2874684989	0.8683748684
151	0.2872667361	0.8685064935
152	0.2871429968	0.8685064935
153	0.2870515365	0.8686381186
154	0.2868662621	0.8688574939
155	0.2867322384	0.8688574939
156	0.2866086054	0.8689452439
157	0.2864720318	0.8686381186
158	0.2863466373	0.8690768691
159	0.2861648305	0.869032994
160	0.2860220573	0.869032994
161	0.2858547646	0.8691646192
162	0.2857314819	0.8692962443
163	0.2856210731	0.8692962443
164	0.285487062	0.8694278694
165	0.2853819976	0.8694717445
166	0.2853306569	0.8693839944
167	0.2851880518	0.8694717445
168	0.2848987822	0.8695156195
169	0.2848457587	0.8696472446
170	0.2847165915	0.8696911197
171	0.284453529	0.8696472446
172	0.2843219961	0.8697349947
173	0.2840302056	0.869998245
174	0.283888337	0.8701298701
175	0.2837906383	0.8703492453
176	0.2836925022	0.8704369954
177	0.2835731089	0.8704808705
178	0.2834560415	0.8704369954
179	0.2832825549	0.8707879958
180	0.2831707627	0.8706124956
181	0.28300364	0.8708318708
182	0.28288965	0.8706563707
183	0.2827822502	0.8707441207
184	0.2826466819	0.8707002457
185	0.2825484591	0.8706563707
186	0.2824435745	0.8708757459
187	0.2823623141	0.870963496
188	0.2822133925	0.870963496
189	0.2820860295	0.8709196209
190	0.2819527271	0.8709196209
191	0.2817848854	0.8709196209
192	0.2816671514	0.8710512461
193	0.2815445173	0.8709196209
194	0.2814889066	0.8710951211
195	0.2813206089	0.8711828712
196	0.281224704	0.8714022464
197	0.2810864472	0.8714899965
198	0.2809992551	0.8716654967
199	0.280884993	0.8715777466
200	0.2807675479	0.8716654967
201	0.2805787183	0.8717093717
202	0.2804905247	0.871972622
203	0.2804008014	0.872016497
204	0.2803048863	0.871972622
205	0.2802117017	0.872016497
206	0.2801278811	0.8721042471
207	0.2800166382	0.8722358722
208	0.2799340859	0.8722358722
209	0.2798909886	0.8722797473
210	0.2798195473	0.8722797473
211	0.2797606259	0.8723674974
212	0.2796229448	0.8724991225
213	0.2795265085	0.8726307476
214	0.279450468	0.8724991225
215	0.2793709052	0.8724991225
216	0.2793161029	0.8724991225
217	0.279286319	0.8724552475
218	0.279198959	0.8725429975
219	0.2791177009	0.8726746227
220	0.2790515026	0.8727184977
221	0.2789426631	0.8728062478
