iter	Passed	Remaining
0	67	67343
1	76	38377
2	90	29965
3	104	26024
4	112	22372
5	119	19833
6	126	17976
7	133	16567
8	140	15467
9	147	14591
10	154	13890
11	161	13305
12	168	12797
13	175	12357
14	182	11980
15	189	11639
16	196	11350
17	204	11173
18	212	10956
19	219	10744
20	226	10547
21	234	10417
22	241	10249
23	255	10372
24	270	10560
25	281	10531
26	288	10393
27	297	10344
28	311	10425
29	320	10355
30	331	10350
31	340	10291
32	350	10259
33	358	10178
34	367	10128
35	376	10074
36	384	10016
37	394	9982
38	408	10063
39	420	10103
40	434	10161
41	450	10285
42	466	10392
43	481	10471
44	494	10484
45	507	10525
46	521	10572
47	534	10597
48	547	10620
49	560	10657
50	573	10672
51	586	10699
52	598	10698
53	606	10620
54	613	10542
55	620	10467
56	629	10406
57	636	10336
58	644	10275
59	651	10204
60	659	10156
61	667	10091
62	675	10041
63	682	9984
64	690	9933
65	697	9873
66	705	9819
67	713	9785
68	723	9767
69	732	9737
70	742	9719
71	750	9677
72	759	9644
73	767	9607
74	776	9579
75	785	9551
76	794	9524
77	802	9486
78	811	9466
79	820	9441
80	829	9407
81	838	9387
82	847	9360
83	856	9340
84	864	9302
85	873	9286
86	881	9252
87	891	9239
88	899	9204
89	907	9171
90	914	9131
91	922	9100
92	929	9062
93	937	9031
94	944	8998
95	952	8967
96	959	8935
97	969	8919
98	987	8986
99	1012	9115
100	1040	9260
101	1059	9323
102	1078	9388
103	1093	9418
104	1109	9458
105	1124	9483
106	1138	9505
107	1147	9481
108	1160	9490
109	1172	9488
110	1185	9492
111	1200	9520
112	1219	9572
113	1234	9594
114	1247	9597
115	1260	9606
116	1271	9594
117	1282	9586
118	1298	9611
119	1306	9579
120	1313	9542
121	1321	9510
122	1329	9479
123	1338	9452
124	1345	9418
125	1354	9392
126	1361	9359
127	1369	9332
128	1377	9300
129	1385	9274
130	1393	9243
131	1401	9216
132	1409	9185
133	1417	9163
134	1426	9140
135	1434	9113
136	1442	9087
137	1450	9061
138	1458	9035
139	1467	9016
140	1475	8990
141	1490	9008
142	1505	9025
143	1518	9029
144	1534	9045
145	1549	9060
146	1562	9065
147	1574	9063
148	1587	9067
149	1600	9070
150	1612	9067
151	1624	9065
152	1637	9064
153	1651	9072
154	1665	9078
155	1679	9084
156	1707	9168
157	1732	9233
158	1752	9269
159	1771	9299
160	1788	9318
161	1803	9327
162	1816	9329
163	1831	9336
164	1846	9344
165	1859	9344
166	1874	9349
167	1887	9348
168	1902	9355
169	1916	9354
170	1929	9356
171	1944	9362
172	1960	9373
173	1982	9411
174	2000	9430
175	2018	9448
176	2033	9456
177	2046	9448
178	2053	9417
179	2064	9407
180	2080	9415
181	2096	9423
182	2109	9416
183	2122	9412
184	2140	9428
185	2159	9448
186	2171	9439
187	2186	9442
188	2200	9440
189	2211	9427
190	2220	9404
191	2229	9383
192	2240	9367
193	2249	9347
194	2259	9328
195	2273	9324
196	2282	9304
197	2294	9295
198	2304	9276
199	2316	9264
200	2328	9254
201	2341	9248
202	2349	9223
203	2358	9202
204	2365	9175
205	2376	9158
206	2383	9131
207	2394	9118
208	2402	9094
209	2412	9075
210	2421	9056
211	2430	9033
212	2445	9034
213	2462	9043
214	2472	9026
215	2480	9003
216	2489	8984
217	2498	8963
218	2511	8957
219	2526	8956
220	2539	8950
221	2553	8948
222	2567	8946
223	2579	8936
224	2591	8926
225	2603	8915
226	2613	8900
227	2626	8891
228	2640	8891
229	2663	8917
230	2684	8937
231	2705	8954
232	2719	8950
233	2735	8953
234	2750	8954
235	2761	8939
236	2771	8922
237	2784	8914
238	2794	8896
239	2804	8881
240	2814	8863
241	2824	8848
242	2835	8834
243	2844	8812
244	2855	8798
245	2866	8786
246	2876	8769
247	2885	8749
248	2894	8730
249	2904	8714
250	2912	8690
251	2922	8675
252	2931	8654
253	2941	8638
254	2953	8628
255	2962	8608
256	2970	8586
257	2978	8567
258	2986	8545
259	2997	8530
260	3011	8527
261	3020	8506
262	3028	8486
263	3037	8468
264	3047	8452
265	3059	8442
266	3070	8429
267	3079	8410
268	3087	8390
269	3097	8373
270	3106	8356
271	3120	8350
272	3131	8339
273	3139	8318
274	3147	8297
275	3155	8276
276	3165	8262
277	3177	8251
278	3188	8240
279	3199	8228
280	3207	8207
281	3219	8196
282	3228	8179
283	3239	8166
284	3250	8155
285	3260	8140
286	3269	8121
287	3278	8105
288	3286	8086
289	3298	8074
290	3306	8056
291	3316	8040
292	3328	8030
293	3338	8016
294	3348	8002
295	3357	7984
296	3365	7966
297	3373	7947
298	3381	7929
299	3389	7909
300	3400	7896
301	3410	7883
302	3420	7867
303	3428	7850
304	3436	7831
305	3448	7820
306	3456	7802
307	3466	7789
308	3476	7773
309	3484	7755
310	3494	7741
311	3501	7722
312	3511	7706
313	3519	7688
314	3530	7676
315	3538	7658
316	3547	7642
317	3556	7627
318	3565	7611
319	3576	7599
320	3584	7582
321	3595	7570
322	3604	7555
323	3613	7539
324	3625	7529
325	3639	7523
326	3652	7516
327	3665	7509
328	3678	7502
329	3692	7496
330	3703	7484
331	3717	7478
332	3773	7559
333	3799	7577
334	3813	7571
335	3826	7562
336	3837	7549
337	3848	7538
338	3861	7530
339	3870	7513
340	3879	7497
341	3892	7489
342	3907	7483
343	3920	7476
344	3931	7464
345	3942	7451
346	3950	7434
347	3958	7416
348	3966	7399
349	3974	7381
350	3983	7365
351	3991	7348
352	4002	7336
353	4010	7319
354	4020	7305
355	4029	7288
356	4037	7272
357	4050	7264
358	4060	7249
359	4069	7235
360	4078	7219
361	4087	7203
362	4095	7187
363	4109	7180
364	4119	7167
365	4128	7151
366	4137	7136
367	4145	7120
368	4158	7110
369	4169	7098
370	4178	7085
371	4190	7074
372	4200	7061
